table,sheet,id,column,issue_type,value
championships,Championships,6,name_en,non_latin_in_en,ЖЕНСКАЯ ЛИГА
championships,Championships,6,short_name_en,non_latin_in_en,ЖЛ
championships,Championships,7,name_en,non_latin_in_en,ЖЕНСКИЙ КУБОК
championships,Championships,7,short_name_en,non_latin_in_en,ЖК
cities,Cities,98,name_en,non_latin_in_en,ЮКО
clubs,Clubs,17,name_en,non_latin_in_en,Восток
clubs,Clubs,18,name_en,non_latin_in_en,Лашын
clubs,Clubs,19,name_en,non_latin_in_en,Спартак
clubs,Clubs,22,name_en,non_latin_in_en,ЦСКА
clubs,Clubs,23,name_en,non_latin_in_en,Астана-1964
clubs,Clubs,26,name_en,non_latin_in_en,Гефест
clubs,Clubs,28,name_en,non_latin_in_en,Байконур
clubs,Clubs,29,name_en,non_latin_in_en,БИИК
clubs,Clubs,30,name_en,non_latin_in_en,Рузаевка
clubs,Clubs,32,name_en,non_latin_in_en,СДЮСШОР №8
clubs,Clubs,33,name_en,non_latin_in_en,Ак-Бет
clubs,Clubs,35,name_en,non_latin_in_en,ОСДЮСШОР - Жас Ұлан
clubs,Clubs,37,name_en,non_latin_in_en,Игілік
clubs,Clubs,39,name_en,non_latin_in_en,ФЦ Дидара Сыдыкбека
clubs,Clubs,40,name_en,non_latin_in_en,Темирлан
clubs,Clubs,44,name_en,non_latin_in_en,Жас Сункар
coaches,Coaches,503,first_name_en,non_latin_in_en,Андрей
coaches,Coaches,503,last_name_en,non_latin_in_en,ШУМАРА
coaches,Coaches,504,first_name_en,non_latin_in_en,Абдухалик
coaches,Coaches,504,last_name_en,non_latin_in_en,БУРИБАЕВ
coaches,Coaches,505,first_name_en,non_latin_in_en,Андрей
coaches,Coaches,505,last_name_en,non_latin_in_en,Ферапонтов
coaches,Coaches,506,first_name_en,non_latin_in_en,Руслан
coaches,Coaches,506,last_name_en,non_latin_in_en,Жангиров
coaches,Coaches,507,first_name_en,non_latin_in_en,Максим
coaches,Coaches,507,last_name_en,non_latin_in_en,САМЧЕНКО
players,Players,1929,first_name_en,non_latin_in_en,Станислав
players,Players,1929,last_name_en,non_latin_in_en,Самойлов
players,Players,1930,first_name_en,non_latin_in_en,Ерболат
players,Players,1930,last_name_en,non_latin_in_en,СЕРИК
players,Players,1931,first_name_en,non_latin_in_en,Нуртас
players,Players,1931,last_name_en,non_latin_in_en,АЙЫП
players,Players,1932,first_name_en,non_latin_in_en,Арсен
